userID,placeID,smoker,drink_level,dress_preference,transport,marital_status,activity,budget,name,alcohol,smoking_area,dress_code,price,area,other_services,GlobalRatings,age,distance,Review_State
1077,135085,false,social drinker,elegant,public,married,student,medium,Tortas Locas Hipocampo,No_Alcohol_Served,not permitted,informal,medium,closed,none,6,32,0.693406728471395,Excellent
1077,135038,false,social drinker,elegant,public,married,student,medium,Restaurant la Chalita,No_Alcohol_Served,section,informal,medium,closed,none,5,32,0.8068757871206556,Excellent
1077,132825,false,social drinker,elegant,public,married,student,medium,puesto de tacos,No_Alcohol_Served,none,informal,low,open,none,6,32,1.0363302991765728,Excellent
1077,135060,false,social drinker,elegant,public,married,student,medium,Restaurante Marisco Sam,No_Alcohol_Served,none,informal,medium,closed,none,5,32,0.7291540610039731,Excellent
1068,135104,false,casual drinker,informal,public,single,student,low,vips,Full_Bar,not permitted,informal,medium,closed,variety,4,31,0.08087798156044765,Medium
1068,132663,false,casual drinker,informal,public,single,student,low,tacos abi,No_Alcohol_Served,none,informal,low,closed,none,3,31,0.1704678051740819,Medium
1068,132630,false,casual drinker,informal,public,single,student,low,palomo tec,No_Alcohol_Served,none,informal,low,closed,none,3,31,0.42761220321203336,Medium
1067,132584,false,abstemious,no preference,public,single,student,medium,Gorditas Dona Tota,No_Alcohol_Served,not permitted,informal,medium,closed,none,6,32,0.33833006249117437,Excellent
1067,132733,false,abstemious,no preference,public,single,student,medium,Little Cesarz,No_Alcohol_Served,not permitted,informal,medium,closed,none,3,32,0.6176084305719001,Medium
1067,132732,false,abstemious,no preference,public,single,student,medium,Taqueria EL amigo ,No_Alcohol_Served,none,casual,low,open,none,5,32,0.35817053488075956,Excellent
1067,132630,false,abstemious,no preference,public,single,student,medium,palomo tec,No_Alcohol_Served,none,informal,low,closed,none,2,32,0.42761220321203336,Bad
1067,132560,false,abstemious,no preference,public,single,student,medium,puesto de gorditas,No_Alcohol_Served,permitted,informal,low,open,none,1,32,0.17250516837330318,Bad
1103,132584,false,abstemious,formal,public,single,professional,medium,Gorditas Dona Tota,No_Alcohol_Served,not permitted,informal,medium,closed,none,4,30,0.3368158871919377,Medium
1103,132732,false,abstemious,formal,public,single,professional,medium,Taqueria EL amigo ,No_Alcohol_Served,none,casual,low,open,none,2,30,0.3596249047512589,Bad
1103,132630,false,abstemious,formal,public,single,professional,medium,palomo tec,No_Alcohol_Served,none,informal,low,closed,none,3,30,0.4261821172854732,Medium
1103,132613,false,abstemious,formal,public,single,professional,medium,carnitas_mata,No_Alcohol_Served,permitted,informal,medium,closed,none,6,30,0.3651491530642087,Excellent
1103,132667,false,abstemious,formal,public,single,professional,medium,little pizza Emilio Portes Gil,No_Alcohol_Served,none,informal,low,closed,none,5,30,0.5353810489272859,Excellent
1103,135104,false,abstemious,formal,public,single,professional,medium,vips,Full_Bar,not permitted,informal,medium,closed,variety,3,30,0.08099677086511847,Medium
1103,132663,false,abstemious,formal,public,single,professional,medium,tacos abi,No_Alcohol_Served,none,informal,low,closed,none,3,30,0.16902852531126009,Medium
1103,132733,false,abstemious,formal,public,single,professional,medium,Little Cesarz,No_Alcohol_Served,not permitted,informal,medium,closed,none,6,30,0.6161190462537103,Excellent
1107,132660,false,abstemious,no preference,car owner,single,,high,carnitas mata calle Emilio Portes Gil,No_Alcohol_Served,none,informal,low,closed,none,5,30,1.3789126137452954,Excellent
1107,132584,false,abstemious,no preference,car owner,single,,high,Gorditas Dona Tota,No_Alcohol_Served,not permitted,informal,medium,closed,none,6,30,1.2917963592191668,Excellent
1107,132733,false,abstemious,no preference,car owner,single,,high,Little Cesarz,No_Alcohol_Served,not permitted,informal,medium,closed,none,6,30,1.4847145360626668,Excellent
1044,135088,true,social drinker,informal,car owner,married,professional,medium,Cafeteria cenidet,No_Alcohol_Served,not permitted,informal,low,closed,none,6,50,9.547245108675387,Excellent
1044,132583,true,social drinker,informal,car owner,married,professional,medium,McDonalds Centro,No_Alcohol_Served,not permitted,informal,low,closed,none,4,50,4.393866108920318,Medium
1070,132608,false,casual drinker,informal,public,single,student,low,Hamburguesas La perica,No_Alcohol_Served,permitted,informal,low,open,none,5,28,0.6416592499553924,Excellent
1070,132609,false,casual drinker,informal,public,single,student,low,Pollo_Frito_Buenos_Aires,No_Alcohol_Served,not permitted,informal,low,closed,none,3,28,0.7854387418218386,Medium
1070,132613,false,casual drinker,informal,public,single,student,low,carnitas_mata,No_Alcohol_Served,permitted,informal,medium,closed,none,2,28,0.18638207298805642,Bad
1082,132630,true,abstemious,informal,public,single,student,medium,palomo tec,No_Alcohol_Served,none,informal,low,closed,none,3,30,0.16603611456940687,Medium
1060,132564,false,casual drinker,formal,public,single,student,medium,churchs,No_Alcohol_Served,none,informal,low,closed,none,6,28,2.2279957269133215,Excellent
1060,132717,false,casual drinker,formal,public,single,student,medium,tortas hawai,No_Alcohol_Served,not permitted,informal,medium,closed,none,6,28,2.031664574509131,Excellent
